nse_symbol,company_name,target_industry,screener_broad_sector,screener_sector,screener_industry,in_stockscans,in_screener
20MICRONS,20 Microns,Mining/Minerals,Commodities,Metals & Mining,Industrial Minerals,1,1
63MOONS,63 Moons Tech.,IT - Software,Information Technology,Information Technology,Computers - Software & Consulting,1,1
AADHARHFC,Aadhar Hsg. Fin.,Finance - Housing,Financial Services,Financial Services,Housing Finance Company,1,1
AARTIDRUGS,Aarti Drugs,Pharma - API,Healthcare,Healthcare,Pharmaceuticals,1,1
AARTIIND,Aarti Industries,Speciality Chemicals,Commodities,Chemicals,Specialty Chemicals,1,1
AARTIPHARM,Aarti Pharma,Pharma - API,Healthcare,Healthcare,Pharmaceuticals,1,1
AAVAS,AAVAS Financiers,Finance - Housing,Financial Services,Financial Services,Housing Finance Company,1,1
ABDL,Allied Blenders,Alcoholic Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Breweries & Distilleries,1,1
ABFRL,Aditya Bir. Fas.,Textiles - Readymade Apparel,Consumer Discretionary,Consumer Services,Speciality Retail,1,1
ABINFRA,A B Infrabuild,Construction - Civil/Turnkey,Industrials,Construction,Civil Construction,1,1
ABLBL,A B Lifestyle,Textiles - Readymade Apparel,Consumer Discretionary,Consumer Services,Speciality Retail,1,1
ABREL,A B Real Estate,Realty - National,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
ACE,Action Const.Eq.,Capital Goods - EPC/Cranes,Industrials,Capital Goods,Construction Vehicles,1,1
ACI,Archean Chemical,Chemicals - Inorganic,Commodities,Chemicals,Specialty Chemicals,1,1
ADFFOODS,ADF Foods,FMCG - Contract Mfg,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Packaged Foods,1,1
ADSL,Allied Digital,IT - Software,Information Technology,Information Technology,IT Enabled Services,1,1
ADVAIT,Advait Energy,EPC,Industrials,Capital Goods,Other Electrical Equipment,1,1
ADVENTHTL,Advent Hotels,,Consumer Discretionary,Consumer Services,Hotels & Resorts,0,1
ADVENZYMES,Advanced Enzyme,Seeds/Tissue Culture/Bio Technology,Healthcare,Healthcare,Biotechnology,1,1
AEQUS,Aequs,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
AEROENTER,Aeroflex Enter.,Miscellaneous,Industrials,Capital Goods,Iron & Steel Products,1,1
AEROFLEX,Aeroflex,Stainless Steel,Industrials,Capital Goods,Iron & Steel Products,1,1
AETHER,Aether Industri.,Speciality Chemicals,Commodities,Chemicals,Specialty Chemicals,1,1
AFCONS,Afcons Infrastr.,Construction - Civil/Turnkey,Industrials,Construction,Civil Construction,1,1
AFFLE,Affle 3i,Advertisement,Information Technology,Information Technology,IT Enabled Services,1,1
AGARIND,Agarwal Indl.,Petrochem - Others,Commodities,Chemicals,Petrochemicals,1,1
AGI,AGI Greenpac,Packaging - FMCG/Consumers,Industrials,Capital Goods,Packaging,1,1
AGIIL,AGI Infra,Realty - Construction & Contracting,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
AHCL,Anlon Healthcare,Chemicals - Speciality,Healthcare,Healthcare,Pharmaceuticals,1,1
AJMERA,Ajmera Realty,Realty - Construction & Contracting,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
AKUMS,Akums Drugs,Pharma - Formulators,Healthcare,Healthcare,Pharmaceuticals,1,1
ALGOQUANT,Algoquant Fin,Finance & Investments - Others,Financial Services,Financial Services,Other Financial Services,1,1
ALIVUS,Alivus Life,Pharmaceuticals Bulk Drugs & Formulation,Healthcare,Healthcare,Pharmaceuticals,1,1
ALKYLAMINE,Alkyl Amines,Speciality Chemicals,Commodities,Chemicals,Specialty Chemicals,1,1
ALLCARGO,Allcargo Logist.,Logistics - Warehousing/Supply Chain,Services,Services,Logistics Solution Provider,1,1
ALOKINDS,Alok Industries,Textiles - Weaving,Consumer Discretionary,Textiles,Other Textile Products,1,1
AMAGI,Amagi Media Labs,Entertainment & Media,Information Technology,Information Technology,IT Enabled Services,1,1
AMANTA,Amanta Healthcar,Pharmaceuticals Bulk Drugs & Formulation,Healthcare,Healthcare,Pharmaceuticals,1,1
AMIRCHAND,A C J K Exports,Food - Processing - Rice,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Other Agricultural Products,1,1
ANANTRAJ,Anant Raj,Data Centre,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
ANDHRSUGAR,Andhra Sugars,,Commodities,Chemicals,Commodity Chemicals,0,1
ANTELOPUS,Antelopus Selan,Oil Drilling & Exploration,Energy,"Oil, Gas & Consumable Fuels",Oil Exploration & Production,1,1
ANUP,The Anup Enginee,Capital Goods - Engineering Heavy,Industrials,Capital Goods,Industrial Products,1,1
ANURAS,Anupam Rasayan,Speciality Chemicals,Commodities,Chemicals,Specialty Chemicals,1,1
APCOTEXIND,Apcotex Industri,Rubber Processing/Rubber Products,Industrials,Capital Goods,Rubber,1,1
APEX,Apex Frozen Food,FMCG - Shrimp,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Seafood,1,1
APLLTD,Alembic Pharma,Pharma - Formulators,Healthcare,Healthcare,Pharmaceuticals,1,1
APOLLO,Apollo Micro Sys,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
APOLLOPIPE,Apollo Pipes,Building Materials - Plastic Pipes,Industrials,Capital Goods,Plastic Products - Industrial,1,1
APTECHT,Aptech,Computer Education,Consumer Discretionary,Consumer Services,Education,1,1
APTUS,Aptus Value Hou.,Finance - Housing,Financial Services,Financial Services,Housing Finance Company,1,1
AQYLON,Aqylon Nexus,Miscellaneous,Consumer Discretionary,"Media, Entertainment & Publication",TV Broadcasting & Software Production,1,1
ARE&M,Amara Raja Ener.,Auto Ancillaries - Batteries,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
ARFIN,Arfin India,Aluminium Products,Commodities,Metals & Mining,Aluminium,1,1
ARIS,Arisinfra Solu.,Trading,Commodities,Construction Materials,Other Construction Materials,1,1
ARKADE,Arkade,Realty - Regional,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
ARMANFIN,Arman Financial,Finance & Investments - Microfinance,Financial Services,Financial Services,Non Banking Financial Company (NBFC),1,1
ARROWGREEN,Arrow Greentech,Plastics - Plastic & Plastic Products,Industrials,Capital Goods,Packaging,1,1
ARSSBL,Anand Rathi Shar,Finance - Capital Markets - Brokers,Financial Services,Financial Services,Stockbroking & Allied,1,1
ARTEMISMED,Artemis Medicare,,Healthcare,Healthcare,Hospital,0,1
ARVIND,Arvind Ltd,Textiles,Consumer Discretionary,Textiles,Garments & Apparels,1,1
ARVINDFASN,Arvind Fashions.,Textiles - Readymade Apparel,Consumer Discretionary,Consumer Services,Speciality Retail,1,1
ARVSMART,Arvind SmartSp.,Realty - Construction & Contracting,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
ASAHIINDIA,Asahi India Glas,Glass & Glass Products,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
ASHAPURMIN,Ashapura Minech.,Mining/Minerals,Commodities,Metals & Mining,Industrial Minerals,1,1
ASHIKA,Ashika Credit,Finance - Investment Bankers,Financial Services,Financial Services,Non Banking Financial Company (NBFC),1,1
ASHOKA,Ashoka Buildcon,Construction & Contracting,Industrials,Construction,Civil Construction,1,1
ASIANENE,Asian Energy,Oil Drilling & Exploration,Energy,"Oil, Gas & Consumable Fuels",Oil Equipment & Services,1,1
ASIANTILES,Asian Granito,Ceramics/Tiles/Sanitaryware,Consumer Discretionary,Consumer Durables,Ceramics,1,1
ASKAUTOLTD,ASK Automotive,Auto Ancillaries - 2 Wheelers,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
ASTEC,Astec Lifescienc,Pesticides/Agrochemicals,Commodities,Chemicals,Pesticides & Agrochemicals,1,1
ASTRAMICRO,Astra Microwave,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
ASTRAZEN,Astrazeneca Phar,Pharma - MNC bulk Drugs,Healthcare,Healthcare,Pharmaceuticals,1,1
ATALREAL,Atal Realtech,Construction - Civil/Turnkey,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
ATLANTAELE,Atlanta Electric,Electric Equipment - Transformers,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
ATUL,Atul,Dyes & Pigments,Commodities,Chemicals,Specialty Chemicals,1,1
ATULAUTO,Atul Auto,Auto - 2 & 3 Wheelers,Industrials,Capital Goods,Commercial Vehicles,1,1
AURIONPRO,Aurionpro Sol.,IT - Software,Information Technology,Information Technology,Computers - Software & Consulting,1,1
AVALON,Avalon Tech,Consumer Electronics - EMS,Industrials,Capital Goods,Other Electrical Equipment,1,1
AVANTEL,Avantel,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
AVANTIFEED,Avanti Feeds,FMCG - Shrimp,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Animal Feed,1,1
AVL,Aditya Vision,Retail - Electronics,Consumer Discretionary,Consumer Services,Speciality Retail,1,1
AWFIS,AWFIS Space,Realty - CoWorking,Services,Services,Diversified Commercial Services,1,1
AWHCL,Antony Waste han,Recycling,Utilities,Utilities,Waste Management,1,1
AWL,AWL Agri Busine.,"Edible Oils, Agro Processing",Fast Moving Consumer Goods,Fast Moving Consumer Goods,Edible Oil,1,1
AXISCADES,AXISCADES Tech.,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
AYE,Aye Finance,NBFC - Others,Financial Services,Financial Services,Non Banking Financial Company (NBFC),1,1
AZAD,Azad Engineering,Aerospace & Defence - Equipments,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
BAJAJCON,Bajaj Consumer,FMCG - Personal Care,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Care,1,1
BAJAJELEC,Bajaj Electrical,Domestic Appliances,Consumer Discretionary,Consumer Durables,Household Appliances,1,1
BAJAJHCARE,Bajaj Healthcare,Pharma - Formulators,Healthcare,Healthcare,Pharmaceuticals,1,1
BAJAJHIND,Bajaj Hindusthan,Sugar,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Sugar,1,1
BAJEL,Bajel Projects,Engineering - Turnkey Services,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
BALAJITELE,Balaji Telefilms,Entertainment & Media,Consumer Discretionary,"Media, Entertainment & Publication",Media & Entertainment,1,1
BALAMINES,Balaji Amines,Chemicals - Organic,Commodities,Chemicals,Specialty Chemicals,1,1
BALRAMCHIN,Balrampur Chini,Sugar,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Sugar,1,1
BALUFORGE,Balu Forge,"Castings, Forgings & Fastners",Industrials,Capital Goods,Castings & Forgings,1,1
