name,path,slug,ev_ebitda,pe,pb,roce,roe,promoter_holding,sales_growth_3y,mkt_cap,cmp
PGHH,/company/PGHH/,PGHH,21.73,,,,,,,24889.27,7667.50
GUJENERGY,/company/GUJENERGY/consolidated/,GUJENERGY,7.81,,,,,,,24730.83,263.59
SUMICHEM,/company/SUMICHEM/,SUMICHEM,29.42,,,,,,,24627.85,493.40
ASAHIINDIA,/company/ASAHIINDIA/consolidated/,ASAHIINDIA,24.23,,,,,,,24368.49,955.90
AWL,/company/AWL/consolidated/,AWL,8.53,,,,,,,24341.68,187.29
MSUMI,/company/MSUMI/,MSUMI,22.52,,,,,,,24218.83,36.52
KAYNES,/company/KAYNES/consolidated/,KAYNES,32.28,,,,,,,24186.65,3598.00
ACC,/company/ACC/consolidated/,ACC,7.93,,,,,,,24108.13,1283.80
KPIL,/company/KPIL/consolidated/,KPIL,10.53,,,,,,,24020.87,1406.60
GABRIEL,/company/GABRIEL/consolidated/,GABRIEL,40.43,,,,,,,23982.77,1353.20
PFOCUS,/company/PFOCUS/consolidated/,PFOCUS,19.85,,,,,,,23908.36,307.00
GODIGIT,/company/GODIGIT/,GODIGIT,40.94,,,,,,,23882.50,258.30
GILLETTE,/company/GILLETTE/,GILLETTE,23.87,,,,,,,23831.44,7312.50
IRB,/company/IRB/consolidated/,IRB,9.60,,,,,,,23733.27,19.65
SANSERA,/company/SANSERA/,SANSERA,34.31,,,,,,,23604.77,3782.60
TIMKEN,/company/TIMKEN/,TIMKEN,34.78,,,,,,,23508.11,3125.30
CUB,/company/CUB/,CUB,16.74,,,,,,,23383.57,236.01
NBCC,/company/NBCC/consolidated/,NBCC,17.64,,,,,,,23382.00,86.60
DEEPAKNTR,/company/DEEPAKNTR/consolidated/,DEEPAKNTR,17.91,,,,,,,23355.94,1712.40
KIOCL,/company/KIOCL/,KIOCL,262.50,,,,,,,23222.17,382.10
CREDITACC,/company/CREDITACC/,CREDITACC,12.48,,,,,,,23155.17,1443.10
TDPOWERSYS,/company/TDPOWERSYS/consolidated/,TDPOWERSYS,57.01,,,,,,,23124.93,740.10
FORCEMOT,/company/FORCEMOT/consolidated/,FORCEMOT,13.75,,,,,,,23058.46,17500.00
BELRISE,/company/BELRISE/,BELRISE,20.18,,,,,,,22907.96,236.86
JYOTICNC,/company/JYOTICNC/consolidated/,JYOTICNC,40.64,,,,,,,22831.00,1003.90
AFFLE,/company/AFFLE/consolidated/,AFFLE,29.69,,,,,,,22778.80,1616.50
